   4.99013364E-02   3.13952612E-03              NaN
   4.96057384E-02   6.26666192E-03              NaN
   4.91143614E-02   9.36906692E-03              NaN
   4.84291576E-02   1.24344956E-02              NaN
   4.75528277E-02   1.54508501E-02              NaN
   4.64888252E-02   1.84062291E-02              NaN
   4.52413522E-02   2.12889668E-02              NaN
   4.38153334E-02   2.40876861E-02              NaN
   4.22163978E-02   2.67913435E-02              NaN
   4.04508524E-02   2.93892622E-02              NaN
   3.85256633E-02   3.18712033E-02              NaN
   3.64484303E-02   3.42273600E-02              NaN
   3.42273526E-02   3.64484340E-02              NaN
   3.18711959E-02   3.85256670E-02              NaN
   2.93892622E-02   4.04508524E-02              NaN
   2.67913379E-02   4.22163978E-02              NaN
   2.40876805E-02   4.38153371E-02              NaN
   2.12889593E-02   4.52413559E-02              NaN
   1.84062272E-02   4.64888252E-02              NaN
   1.54508492E-02   4.75528277E-02              NaN
   1.24344919E-02   4.84291576E-02              NaN
   9.36906226E-03   4.91143651E-02              NaN
   6.26665587E-03   4.96057384E-02              NaN
   3.13951890E-03   4.99013364E-02              NaN
  -2.18556950E-09   5.00000007E-02              NaN
  -3.13952938E-03   4.99013364E-02              NaN
  -6.26666611E-03   4.96057346E-02              NaN
  -9.36907157E-03   4.91143614E-02              NaN
  -1.24345012E-02   4.84291576E-02              NaN
  -1.54508520E-02   4.75528240E-02              NaN
  -1.84062328E-02   4.64888215E-02              NaN
  -2.12889686E-02   4.52413522E-02              NaN
  -2.40876898E-02   4.38153297E-02              NaN
  -2.67913472E-02   4.22163941E-02              NaN
  -2.93892715E-02   4.04508449E-02              NaN
  -3.18712108E-02   3.85256559E-02              NaN
  -3.42273675E-02   3.64484228E-02              NaN
  -3.64484303E-02   3.42273526E-02              NaN
  -3.85256670E-02   3.18711959E-02              NaN
  -4.04508524E-02   2.93892603E-02              NaN
  -4.22164015E-02   2.67913342E-02              NaN
  -4.38153371E-02   2.40876786E-02              NaN
  -4.52413559E-02   2.12889593E-02              NaN
  -4.64888290E-02   1.84062198E-02              NaN
  -4.75528315E-02   1.54508399E-02              NaN
  -4.84291613E-02   1.24344835E-02              NaN
  -4.91143651E-02   9.36905388E-03              NaN
  -4.96057384E-02   6.26664842E-03              NaN
  -4.99013364E-02   3.13952309E-03              NaN
  -5.00000007E-02  -4.37113901E-09              NaN
  -4.99013364E-02  -3.13953171E-03              NaN
  -4.96057346E-02  -6.26666844E-03              NaN
  -4.91143614E-02  -9.36907437E-03              NaN
  -4.84291576E-02  -1.24345040E-02              NaN
  -4.75528203E-02  -1.54508604E-02              NaN
  -4.64888178E-02  -1.84062403E-02              NaN
  -4.52413484E-02  -2.12889761E-02              NaN
  -4.38153259E-02  -2.40876954E-02              NaN
  -4.22163941E-02  -2.67913435E-02              NaN
  -4.04508486E-02  -2.93892678E-02              NaN
  -3.85256596E-02  -3.18712071E-02              NaN
  -3.64484265E-02  -3.42273638E-02              NaN
  -3.42273489E-02  -3.64484377E-02              NaN
  -3.18711922E-02  -3.85256670E-02              NaN
  -2.93892529E-02  -4.04508561E-02              NaN
  -2.67913286E-02  -4.22164015E-02              NaN
  -2.40876712E-02  -4.38153408E-02              NaN
  -2.12889519E-02  -4.52413596E-02              NaN
  -1.84062123E-02  -4.64888327E-02              NaN
  -1.54508324E-02  -4.75528315E-02              NaN
  -1.24344761E-02  -4.84291650E-02              NaN
  -9.36904550E-03  -4.91143689E-02              NaN
  -6.26664003E-03  -4.96057384E-02              NaN
  -3.13950307E-03  -4.99013364E-02              NaN
   5.96244054E-10  -5.00000007E-02              NaN
   3.13952798E-03  -4.99013364E-02              NaN
   6.26666471E-03  -4.96057384E-02              NaN
   9.36907064E-03  -4.91143614E-02              NaN
   1.24345003E-02  -4.84291576E-02              NaN
   1.54508566E-02  -4.75528240E-02              NaN
   1.84062347E-02  -4.64888215E-02              NaN
   2.12889742E-02  -4.52413522E-02              NaN
   2.40876935E-02  -4.38153297E-02              NaN
   2.67913491E-02  -4.22163904E-02              NaN
   2.93892752E-02  -4.04508412E-02              NaN
   3.18712108E-02  -3.85256521E-02              NaN
   3.42273675E-02  -3.64484191E-02              NaN
   3.64484452E-02  -3.42273414E-02              NaN
   3.85256745E-02  -3.18711847E-02              NaN
   4.04508635E-02  -2.93892473E-02              NaN
   4.22164090E-02  -2.67913230E-02              NaN
   4.38153446E-02  -2.40876656E-02              NaN
   4.52413633E-02  -2.12889444E-02              NaN
   4.64888327E-02  -1.84062049E-02              NaN
   4.75528352E-02  -1.54508250E-02              NaN
   4.84291650E-02  -1.24344677E-02              NaN
   4.91143651E-02  -9.36906133E-03              NaN
   4.96057384E-02  -6.26665587E-03              NaN
   4.99013364E-02  -3.13951867E-03              NaN
   5.00000007E-02   8.74227801E-09              NaN
   9.98026729E-02   6.27905224E-03              NaN
   9.92114767E-02   1.25333238E-02              NaN
   9.82287228E-02   1.87381338E-02              NaN
   9.68583152E-02   2.48689912E-02              NaN
   9.51056555E-02   3.09017003E-02              NaN
   9.29776505E-02   3.68124582E-02              NaN
   9.04827043E-02   4.25779335E-02              NaN
   8.76306668E-02   4.81753722E-02              NaN
   8.44327956E-02   5.35826869E-02              NaN
   8.09017047E-02   5.87785244E-02              NaN
   7.70513266E-02   6.37424067E-02              NaN
   7.28968605E-02   6.84547201E-02              NaN
   6.84547052E-02   7.28968680E-02              NaN
   6.37423918E-02   7.70513341E-02              NaN
   5.87785244E-02   8.09017047E-02              NaN
   5.35826758E-02   8.44327956E-02              NaN
   4.81753610E-02   8.76306742E-02              NaN
   4.25779186E-02   9.04827118E-02              NaN
   3.68124545E-02   9.29776505E-02              NaN
   3.09016984E-02   9.51056555E-02              NaN
   2.48689838E-02   9.68583152E-02              NaN
   1.87381245E-02   9.82287303E-02              NaN
   1.25333117E-02   9.92114767E-02              NaN
   6.27903780E-03   9.98026729E-02              NaN
  -4.37113901E-09  0.100000001                  NaN
  -6.27905875E-03   9.98026729E-02              NaN
  -1.25333322E-02   9.92114693E-02              NaN
  -1.87381431E-02   9.82287228E-02              NaN
  -2.48690024E-02   9.68583152E-02              NaN
  -3.09017040E-02   9.51056480E-02              NaN
  -3.68124656E-02   9.29776430E-02              NaN
  -4.25779372E-02   9.04827043E-02              NaN
  -4.81753796E-02   8.76306593E-02              NaN
  -5.35826944E-02   8.44327882E-02              NaN
  -5.87785430E-02   8.09016898E-02              NaN
  -6.37424216E-02   7.70513117E-02              NaN
  -6.84547350E-02   7.28968456E-02              NaN
  -7.28968605E-02   6.84547052E-02              NaN
  -7.70513341E-02   6.37423918E-02              NaN
  -8.09017047E-02   5.87785207E-02              NaN
  -8.44328031E-02   5.35826683E-02              NaN
  -8.76306742E-02   4.81753573E-02              NaN
  -9.04827118E-02   4.25779186E-02              NaN
  -9.29776579E-02   3.68124396E-02              NaN
  -9.51056629E-02   3.09016798E-02              NaN
  -9.68583226E-02   2.48689670E-02              NaN
  -9.82287303E-02   1.87381078E-02              NaN
  -9.92114767E-02   1.25332968E-02              NaN
  -9.98026729E-02   6.27904618E-03              NaN
 -0.100000001      -8.74227801E-09              NaN
  -9.98026729E-02  -6.27906341E-03              NaN
  -9.92114693E-02  -1.25333369E-02              NaN
  -9.82287228E-02  -1.87381487E-02              NaN
  -9.68583152E-02  -2.48690080E-02              NaN
  -9.51056406E-02  -3.09017207E-02              NaN
  -9.29776356E-02  -3.68124805E-02              NaN
